keyword,estimated_impressions_midpoint,reported_impressions_total,max_reported_month,months_appeared,sub_threshold_months,est_low,est_high,first_month,last_month,months_list
karissa kuhle hopkins mn,8,0,0,1,1,1,15,2025-05,2025-05,2025-05
kathryn l piha md minnesota hopkins health and wellness,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
natropath,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
natura specialist minnesota,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
natural cancer doctors in minnesota,8,0,0,1,1,1,15,2025-09,2025-09,2025-09
natural doctor on leukemia in minnesota,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
natural doctors near me,8,0,0,1,1,1,15,2026-03,2026-03,2026-03
natural dr,8,0,0,1,1,1,15,2025-06,2025-06,2025-06
natural dr in walker mn,8,0,0,1,1,1,15,2025-12,2025-12,2025-12
natural health clinic,8,0,0,1,1,1,15,2026-05,2026-05,2026-05
natural health for men near me,8,0,0,1,1,1,15,2026-01,2026-01,2026-01
natural path doctor,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
natural path md in minnesota,8,0,0,1,1,1,15,2026-05,2026-05,2026-05
natural pathologist doctor minneapolis,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
natural practitioner near me,8,0,0,1,1,1,15,2025-09,2025-09,2025-09
natural removal hopkins minnesota,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
naturistic ohysucian,8,0,0,1,1,1,15,2025-07,2025-07,2025-07
naturopath in st louis park,8,0,0,1,1,1,15,2026-02,2026-02,2026-02
naturopath twin.cities,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
"naturopathic clinic in nashville, minnesota, usa",8,0,0,1,1,1,15,2026-04,2026-04,2026-04
naturopathic doctor edina,8,0,0,1,1,1,15,2025-09,2025-09,2025-09
naturopathic doctor for weight loss near me,8,0,0,1,1,1,15,2025-07,2025-07,2025-07
naturopathic doctor hennepin county,8,0,0,1,1,1,15,2025-06,2025-06,2025-06
naturopathic doctor st paul,8,0,0,1,1,1,15,2025-08,2025-08,2025-08
naturopathic doctors,8,0,0,1,1,1,15,2025-12,2025-12,2025-12
naturopathic doctors near me,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
naturopathic gut health doctors chaska mn,8,0,0,1,1,1,15,2026-02,2026-02,2026-02
naturopathic health practitioner,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
naturopathic infertility doctor minnesota,8,0,0,1,1,1,15,2025-06,2025-06,2025-06
naturopathic md south metro mn,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
naturopathic medicine,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
naturopathicmagic,8,0,0,1,1,1,15,2026-06,2026-06,2026-06
naturopaths,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
naturopathy doctor,8,0,0,1,1,1,15,2026-01,2026-01,2026-01
nautropath,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
nutrapathic,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
orthopedic holistic near me ,8,0,0,1,1,1,15,2025-08,2025-08,2025-08
panakumen restaurant,8,0,0,1,1,1,15,2026-01,2026-01,2026-01
panka natural health nail fungus oil blens,8,0,0,1,1,1,15,2026-02,2026-02,2026-02
pediatric functional medicine near me,8,0,0,1,1,1,15,2026-05,2026-05,2026-05
physician hopkins,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
psch anp naturopath,8,0,0,1,1,1,15,2025-05,2025-05,2025-05
rash allergic reaction treatment,8,0,0,1,1,1,15,2025-08,2025-08,2025-08
thyroid specialist natural,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
thyroid testing,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
top rated doctors that work with gut health and inflammation near me,8,0,0,1,1,1,15,2025-06,2025-06,2025-06
top rated naturopathic doctor,8,0,0,1,1,1,15,2025-09,2025-09,2025-09
vitamin & supplements store,8,0,0,1,1,1,15,2025-06,2025-06,2025-06
wayzata functional medicine,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
wellness hrt specialist mn,8,0,0,1,1,1,15,2026-07,2026-07,2026-07
