Searchterm,Impressions,Clicks,Cost,Conversions,ConversionValue,CTR,CPC,CostPerConversion,Campaigns,AdGroups,MatchedKeywords,MatchTypes,QueryTargetingStatuses,NumRows
holistic doctors near me,38,5,13.3403,1.0,1.0,0.1316,2.6681,13.3403,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core | Women's Health & Hormones,holistic dr near me | holistic medicine Minneapolis | integrative medicine near me | natural functional doctor | natural medicine Minnesota | naturopath for hormone imbalance | naturopathic doctor near me | naturopathic practitioner near me,broad | exact (close variant) | phrase (close variant),None,9
naturopath near me,31,4,13.21,1.0,1.0,0.129,3.3025,13.21,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core | Women's Health & Hormones,natural functional doctor | naturopathic doctor near me | naturopathic practitioner near me | women's health naturopath,broad | exact (close variant) | phrase (close variant),None,5
holistic doctor minneapolis,22,4,9.94,5.0,5.0,0.1818,2.485,1.988,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core,best functional doctor near me | functional medicine near me | holistic dr near me | holistic medicine Minneapolis | integrated doctor | natural functional doctor | naturalist dr near me | naturopathic doctor near me | naturopathic practitioner near me,broad | exact (close variant) | phrase (close variant),None,9
how to fix memory loss from depression,1,1,9.8429,0.0,0.0,1.0,9.8429,,Leads-Search-1,Functional & Integrative Medicine,functional holistic medicine,broad,None,1
functional medicine doctors near me,13,3,9.84,0.0,0.0,0.2308,3.28,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine | functional medicine doctors in my area | functional medicine doctors near me | holistic dr near me | integrative medicine near me | naturopathic doctor near me,broad | exact | exact (close variant) | phrase | phrase (close variant),Added,6
homeopathic doctors near me,57,3,8.73,0.0,0.0,0.0526,2.91,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core,alternative medicine near me | holistic dr near me | integrative medicine doctors in my area | natural doctor near me | natural medicine Minnesota | natural pediatrician near me | naturopathic doctor near me,broad | phrase (close variant),None,9
integrative medicine near me,57,3,8.71,0.0,0.0,0.0526,2.9033,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,integrative medicine near me | men's health naturopath | natural functional doctor | natural pediatrician near me,broad | exact,Added,5
holistic health minneapolis,7,4,8.67,0.0,0.0,0.5714,2.1675,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,holistic dr near me | holistic medicine Minneapolis | integrative medicine near me,broad | exact (close variant),None,4
hopkins clinic,4,1,8.52,0.0,0.0,0.25,8.52,,Leads-Search-1,Functional & Integrative Medicine,functional medical clinic,broad,None,1
functional medicine providers near me,11,2,8.4,2.0,2.0,0.1818,4.2,4.2,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me | natural pediatrician near me | naturopathic doctor near me,broad | phrase (close variant),None,5
chronic,1,1,8.1383,0.0,0.0,1.0,8.1383,,Leads-Search-1,Functional & Integrative Medicine,functional medicines,broad,None,1
healthpartners maple grove,2,2,7.97,0.0,0.0,1.0,3.985,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
functional medicine minneapolis,87,2,7.96,0.0,0.0,0.023,3.98,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Pediatrics,functional doctor | functional doctor in my area | functional medical doctors | functional medical physician | functional medicine | functional medicine doctors in my area | functional medicine doctors near me | functional medicine near me | functional medicine practitioner | functional medicines | holistic dr near me | holistic medicine Minneapolis | integrative medicine near me | natural pediatrician near me | naturopathic doctor Minneapolis | naturopathic doctor near me | pediatric holistic doctor near me | pediatric naturopath near me,broad | phrase | phrase (close variant),None,22
functional medicine maple grove,22,3,7.07,1.0,1.0,0.1364,2.3567,7.07,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,functional medical physician | functional medicine | holistic dr near me | integrative medicine near me | naturopathic doctor near me | naturopaths in my area,broad | phrase | phrase (close variant),None,6
menopause doctor near me,13,1,6.85,0.0,0.0,0.0769,6.85,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,holistic dr near me | integrative medicine near me | naturopath for hormones | naturopathic doctor Minneapolis | naturopathic doctor near me | perimenopause doctor near me,broad | exact (close variant),None,6
naturopath minneapolis,12,2,6.73,3.0,3.0,0.1667,3.365,2.2433,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,holistic dr near me | holistic medicine Minneapolis | integrative medicine near me | naturopathic doctor Minneapolis | naturopathic doctor near me,broad | exact (close variant) | phrase (close variant),None,6
fertility naturopath near me,3,2,6.7,0.0,0.0,0.6667,3.35,,Leads-Search-1,Ad group 1,naturopathic doctor near me,phrase (close variant),None,1
functional doctors near me,9,4,6.65,1.0,1.0,0.4444,1.6625,6.65,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor in my area | holistic dr near me | naturopathic doctor near me,broad | exact (close variant),None,3
allergist near me,11,2,6.6167,1.0,1.0,0.1818,3.3083,6.6167,Leads-Search-1,Ad group 1 | Naturopath Near Me — Core | Pediatrics,holistic dr near me | natural doctor near me | natural pediatrician near me | pediatric naturopath near me,broad,None,4
low acth,1,2,6.42,0.0,0.0,2.0,3.21,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,Excluded,1
cupping near me,3,2,6.3,0.0,0.0,0.6667,3.15,,Leads-Search-1,Ad group 1,alternative medicine doctors near me | holistic dr near me,broad,Excluded,2
holistic pediatrician near me,60,4,6.2429,0.0,0.0,0.0667,1.5607,,Leads-Search-1,Ad group 1 | Naturopath Near Me — Core | Pediatrics,holistic dr near me | holistic pediatricians near me | integrative medicine near me | natural pediatrician near me | naturopathic doctor near me | pediatric holistic doctor | pediatric naturopath near me,broad | exact (close variant) | phrase (close variant),None,9
endocrinologist plymouth mn,6,2,5.92,0.0,0.0,0.3333,2.96,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Women's Health & Hormones,functional medicine doctors in my area | functional medicine for hormones | holistic dr near me | naturopathic doctor Minneapolis,broad,None,4
functional health doctor near me,26,1,5.9,0.0,0.0,0.0385,5.9,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine doctors near me | functional doctor | functional medicine | functional medicine doctors near me | functional medicine near me | holistic dr near me | integrative medicine doctors in my area | integrative medicine near me | naturopathic doctor near me | naturopathic dr near me,broad | exact (close variant) | phrase (close variant),None,13
endometriosis specialist minnesota,3,2,5.8,0.0,0.0,0.6667,2.9,,Leads-Search-1,Women's Health & Hormones,women's health naturopath | women's hormone specialist near me,broad,None,2
pediatrician holistic near me,2,1,5.55,0.0,0.0,0.5,5.55,,Leads-Search-1,Pediatrics,holistic pediatricians near me,exact (close variant),None,1
craniosacral therapy near me,12,3,5.54,0.0,0.0,0.25,1.8467,,Leads-Search-1,Ad group 1 | Naturopath Near Me — Core,alternative medicine near me | holistic dr near me | integrative health near me | integrative medicine near me,broad | phrase (close variant),None,4
endometriosis specialist near me,7,2,5.51,0.0,0.0,0.2857,2.755,,Leads-Search-1,Women's Health & Hormones,endometriosis specialist near me | women's health naturopath | women's hormone specialist near me | women's naturopath near me,broad | exact,Added,4
naturalist pediatrician near me,2,1,5.42,0.0,0.0,0.5,5.42,,Leads-Search-1,Pediatrics,holistic pediatricians near me,exact (close variant),None,1
top rated functional medicine doctors near me,3,2,5.28,0.0,0.0,0.6667,2.64,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,holistic dr near me | holistic medicine Minneapolis,broad,None,2
natural path doctor near me,22,3,5.23,0.0,0.0,0.1364,1.7433,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine doctors near me | functional medical physician | functional medicine | integrative medicine near me | natural doctor near me | naturopathic doctor near me | naturopathic dr near me | naturopathic practitioner near me,broad | exact (close variant) | phrase (close variant),None,9
best integrative medicine doctors near me,5,1,5.2,0.0,0.0,0.2,5.2,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,holistic dr near me | integrative medicine doctors in my area | integrative medicine near me,exact (close variant) | phrase (close variant),None,3
functional doctor near me,29,1,5.18,0.0,0.0,0.0345,5.18,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core,functional doctor | functional doctor in my area | functional medicine doctor hopkins | holistic dr near me | integrative medicine near me | naturopathic doctor Minneapolis | naturopathic doctor near me,broad | exact (close variant) | phrase (close variant),None,9
functional medicine women's health near me,4,2,5.12,0.0,0.0,0.5,2.56,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,holistic dr near me | integrative medicine near me | women's health naturopath,broad | phrase (close variant),None,3
dr panka,2,1,5.12,0.0,0.0,0.5,5.12,,PNHdefense-Website traffic-Search-2,Ad group 1,dr panka,exact,Added,1
energy healing near me,11,2,5.06,0.0,0.0,0.1818,2.53,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,holistic dr near me | integrative health near me | integrative medicine near me | naturopathic doctor Minneapolis,broad,None,4
colonics minneapolis,4,1,5.04,0.0,0.0,0.25,5.04,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
hormone specialist minneapolis,15,2,5.02,0.0,0.0,0.1333,2.51,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,fertility naturopath near me | functional medicine for hormones | holistic dr near me | hormone doctor near me | integrative medicine near me | natural medicine Minnesota | women's health naturopath | women's hormone specialist near me,broad,None,9
top rated functional medicine doctor near me,4,1,5.01,3.0,3.0,0.25,5.01,1.67,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine doctors near me | integrative medicine near me,broad | exact (close variant),None,2
pediatricians that don t require vaccines,2,1,4.97,1.0,1.0,0.5,4.97,4.97,Leads-Search-1,Ad group 1,natural pediatrician near me,broad,None,1
erectile dysfunction uptodate,2,1,4.8662,0.0,0.0,0.5,4.8662,,Leads-Search-1,Men's Health,men's health naturopath | naturopath for men,broad,None,2
holistic chiropractors,2,1,4.8639,0.0,0.0,0.5,4.8639,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
holistic medicine minneapolis,29,2,4.84,0.0,0.0,0.069,2.42,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,holistic medicine Minneapolis,exact,Added,2
functional medical doctor near me,13,2,4.64,0.0,0.0,0.1538,2.32,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor in my area | functional medicine doctors near me | functional medicine near me | holistic dr near me | integrative medicine near me | natural pediatrician near me | naturopathic doctor near me,broad | exact (close variant),None,7
what is functional medicine,3,2,4.64,0.0,0.0,0.6667,2.32,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine,exact (close variant),None,2
first choice wellness near me,2,2,4.64,0.0,0.0,1.0,2.32,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medicine near me | natural medicine Minnesota,broad,None,2
testosterone test,4,1,4.62,0.0,0.0,0.25,4.62,,Leads-Search-1,Men's Health,male medical clinic near me | men's health naturopath | naturopath for low testosterone,broad,None,3
women's functional health near me,3,1,4.56,0.0,0.0,0.3333,4.56,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine near me | naturopathic doctor near me,broad | phrase (close variant),None,2
contraceptives for females,1,1,4.5142,1.0,65.0,1.0,4.5142,4.5142,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
holistic medicine,37,2,4.51,0.0,0.0,0.0541,2.255,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core | Women's Health & Hormones,alternative medicine near me | female naturopath | functional medicine | functional medicine doctor hopkins | functional medicine doctors near me | holistic dr near me | holistic medicine Minneapolis | integrative medicine near me | natural doctor near me | natural medicine Minnesota | naturalist dr near me | naturopathic doctor near me | naturopaths in my area,broad,None,14
tcm minnesota,3,1,4.48,0.0,0.0,0.3333,4.48,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
acupuncture shakopee,1,1,4.476,0.0,0.0,1.0,4.476,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
fertility treatment options,1,1,4.4735,1.0,65.0,1.0,4.4735,4.4735,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
holistic,7,3,4.4472,0.0,0.0,0.4286,1.4824,,Leads-Search-1,Ad group 1 | Naturopath Near Me — Core,alternative medicine doctors near me | alternative medicine near me | holistic dr near me | holistic medicine Minneapolis | integrative medicine near me,broad,Excluded,5
functional health providers near me,1,1,4.4367,2.0,2.0,1.0,4.4367,2.2184,Leads-Search-1,Ad group 1,holistic medicine Minneapolis,broad,None,1
naturopathic doctors twin cities,4,1,4.37,0.0,0.0,0.25,4.37,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine | holistic dr near me | naturopathic doctor near me,broad,None,3
naturopathic md,6,1,4.36,0.0,0.0,0.1667,4.36,,Leads-Search-1,Ad group 1,naturopathic doctor near me,exact (close variant),None,1
naturopathic doctors near me,12,1,4.301,2.0,2.0,0.0833,4.301,2.1505,Leads-Search-1,Ad group 1 | Naturopath Near Me — Core,alternative medicine doctors near me | natural doctor near me | naturalist dr near me | naturopathic doctor near me,exact (close variant),None,5
ibs doctor near me,4,1,4.29,0.0,0.0,0.25,4.29,,Leads-Search-1,Ad group 1,naturopathic doctor Minneapolis,broad,None,1
womens functional medicine near me,2,1,4.29,0.0,0.0,0.5,4.29,,Leads-Search-1,Functional & Integrative Medicine | Women's Health & Hormones,functional medicine for hormones | integrative medicine near me,broad | phrase (close variant),None,2
private practices near me,6,2,4.26,0.0,0.0,0.3333,2.13,,Leads-Search-1,Ad group 1,holistic dr near me | naturopathic doctor near me,broad,None,2
function health,10,1,4.2405,0.0,0.0,0.1,4.2405,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine | naturopathic doctor near me,broad | phrase (close variant),Excluded,2
homeopathic doctor mn,2,1,4.22,0.0,0.0,0.5,4.22,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
functional medicine doctor near me takes insurance,2,1,4.196,0.0,0.0,0.5,4.196,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
perimenopause doctor near me,7,1,4.15,1.0,1.0,0.1429,4.15,4.15,Leads-Search-1,Ad group 1 | Women's Health & Hormones,holistic dr near me | hormone doctor near me | naturopathic doctor near me | perimenopause doctor near me | women's hormone specialist near me,broad | exact | phrase (close variant),Added | None,5
colon hydrotherapy minneapolis,9,2,4.14,0.0,0.0,0.2222,2.07,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional integrative medicine near me | holistic dr near me | holistic medicine Minneapolis | naturopathic doctor near me,broad,None,4
doctor that specializes in diseases,18,3,4.0,0.0,0.0,0.1667,1.3333,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me,broad,None,2
integrative health minneapolis,13,2,3.9825,5.0,5.0,0.1538,1.9912,0.7965,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,holistic dr near me | integrative doctor | integrative medicine near me | natural pediatrician near me | naturalist dr near me | naturopathic doctor near me,broad,None,6
dr katie corazzo,5,1,3.97,0.0,0.0,0.2,3.97,,Leads-Search-1,Ad group 1,holistic dr near me | men's health naturopath | naturopathic doctor near me,broad,None,3
ayurvedic practitioner near me,11,1,3.95,0.0,0.0,0.0909,3.95,,Leads-Search-1,Ad group 1,holistic dr near me | holistic medicine Minneapolis | integrative medicine near me | naturopathic doctor near me,broad | phrase (close variant),None,4
functional health coach near me,5,1,3.93,0.0,0.0,0.2,3.93,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
kat hopkins,5,1,3.93,0.0,0.0,0.2,3.93,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine doctors near me | holistic dr near me | integrative medicine near me,broad,None,4
midi health reviews,1,1,3.93,0.0,0.0,1.0,3.93,,Leads-Search-1,Women's Health & Hormones,naturopath for women's health,broad,None,1
holistic gut doctor near me,3,2,3.93,0.0,0.0,0.6667,1.965,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Women's Health & Hormones,functional medical physician | natural pediatrician near me | naturopath for hormone imbalance,broad | phrase (close variant),None,3
where to go for acupuncture,3,1,3.9239,0.0,0.0,0.3333,3.9239,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
hormone testing near me women,2,1,3.89,0.0,0.0,0.5,3.89,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
naturalist doctor near me,2,1,3.89,0.0,0.0,0.5,3.89,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,holistic dr near me | integrative medicine near me,exact (close variant) | phrase (close variant),None,2
best chinese medicine doctor near me,5,1,3.8885,0.0,0.0,0.2,3.8885,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
functional medicine doctors,21,1,3.88,0.0,0.0,0.0476,3.88,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor | functional medical doctors | functional medical physician | functional medicine doctors near me | holistic dr near me | integrative doctor | integrative medicine near me | naturopathic doctor near me,broad | exact (close variant) | phrase (close variant),None,8
function doctors,2,2,3.84,1.0,1.0,1.0,1.92,3.84,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
free gi doctor near me,1,2,3.8,0.0,0.0,2.0,1.9,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors in my area,broad,None,1
natural medicine doctors near me,6,2,3.78,0.0,0.0,0.3333,1.89,,Leads-Search-1,Ad group 1,naturopathic doctor near me,exact (close variant),None,1
reiki minneapolis,10,1,3.74,0.0,0.0,0.1,3.74,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,best functional doctors near me | holistic dr near me | holistic medicine Minneapolis | naturopathic doctor Minneapolis | naturopathic doctor near me,broad | phrase (close variant),None,5
holistic health ulcerative colitis,1,1,3.72,0.0,0.0,1.0,3.72,,Leads-Search-1,Naturopath Near Me — Core,naturopaths in my area,broad,None,1
wellness minneapolis,27,1,3.6665,0.0,0.0,0.037,3.6665,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core | Women's Health & Hormones,functional doctor | functional doctor in my area | functional medicine | functional medicine for hormones | holistic dr near me | holistic medicine Minneapolis | integrative medicine near me | natural medicine Minnesota | naturalist dr near me | naturopathic doctor Minneapolis | naturopathic doctor near me | naturopaths in my area,broad | phrase (close variant),None,13
womens hormone specialist near me,1,1,3.63,1.0,65.0,1.0,3.63,3.63,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,exact (close variant),None,1
integrative dermatology near me,2,2,3.61,0.0,0.0,1.0,1.805,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area | integrative medicine near me,phrase (close variant),None,2
natural medication for adhd,1,1,3.61,0.0,0.0,1.0,3.61,,Leads-Search-1,Naturopath Near Me — Core,alternative medicine near me,broad,None,1
natural health doctors near me,5,1,3.59,0.0,0.0,0.2,3.59,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core,natural doctor near me | naturopathic doctor Minneapolis | naturopathic doctor near me | naturopathic practitioner near me,broad | exact (close variant),None,4
natural doctor,4,1,3.5822,0.0,0.0,0.25,3.5822,,Leads-Search-1,Ad group 1,naturopathic doctor near me,exact (close variant),None,1
female hormone therapy near me,1,1,3.5574,0.0,0.0,1.0,3.5574,,Leads-Search-1,Women's Health & Hormones,naturopath for hormones,broad,None,1
allina integrative medicine,5,1,3.53,0.0,0.0,0.2,3.53,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me | naturopathic doctor near me,broad,None,3
hormone and gut health practitioner near me,2,1,3.53,0.0,0.0,0.5,3.53,,Leads-Search-1,Ad group 1,holistic dr near me,phrase (close variant),None,1
integrative health,36,1,3.52,0.0,0.0,0.0278,3.52,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor in my area | functional integrative doctor | functional medical | functional medicine | functional medicine clinic near me | functional medicine doctors in my area | functional medicine doctors near me | functional medicine near me | functional medicine practice near me | holistic dr near me | integrative medicine doctors in my area | integrative medicine near me | natural functional doctor | natural pediatrician near me | naturopathic doctor Minneapolis | naturopathic doctor near me,broad,None,16
women functional medicine,1,1,3.5,0.0,0.0,1.0,3.5,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
best doctor for perimenopause near me,1,1,3.47,2.0,2.0,1.0,3.47,1.735,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
family medicine minneapolis,2,1,3.4424,0.0,0.0,0.5,3.4424,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
holistic health practitioners near me,1,1,3.43,0.0,0.0,1.0,3.43,,Leads-Search-1,Naturopath Near Me — Core,natural doctor near me,exact (close variant),None,1
