Adgroupname,AdgroupID,Adgroupstatus,AdgroupMaxCPC,Keyword,Matchtype,KeywordID,Keywordstatus,status_source,active_today,LifetimeImpressions,LifetimeClicks,LifetimeCost,LifetimeConversions,Qualityscore,SystemServingStatus
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,holistic medicine Minneapolis,Phrase,2431240508818,enabled,KeywordView report,YES,196,25,47.5298,2,5,Eligible
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,integrative medicine Hopkins MN,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,natural medicine Minnesota,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,natural medicine doctor Minnesota,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,naturopathic doctor Hopkins MN,Exact,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,naturopathic doctor Minneapolis,Phrase,2431240508378,enabled,KeywordView report,YES,77,8,20.5537,0,8,Eligible
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,naturopathic physician Hopkins,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,adrenal fatigue doctor near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,best male doctor near me,Broad,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,enlarged prostate natural treatment,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,holistic doctor for men near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,low testosterone natural treatment,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,male clinic near me,Broad,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,men's health naturopath,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,men's hormone doctor near me,Phrase,828039572868,enabled,KeywordView report,YES,0,0,0,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,natural prostate treatment near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,natural testosterone doctor near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,naturopath for athletic performance,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,naturopath for low testosterone,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,naturopath for men,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,naturopath for men's health,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,naturopath for prostate health,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,naturopath for testosterone,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Men's Health,201177674047,ENABLED,1.3,best mens doctor near me,Broad,826174075160,paused,KeywordView report,,1,0,0,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,gents specialist doctor near me,Broad,1173141205177,paused,KeywordView report,,46,4,2.96,2,,Eligible
Men's Health,201177674047,ENABLED,1.3,male doctor near me,Broad,297520616059,paused,KeywordView report,,15,1,2.06,1,,Eligible
Men's Health,201177674047,ENABLED,1.3,male health doctor near me,Broad,387583490878,paused,KeywordView report,,1,0,0,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,male health doctors near me,Broad,417261681746,paused,KeywordView report,,18,2,2.0243,0.51,,Eligible
Men's Health,201177674047,ENABLED,1.3,male medical clinic near me,Broad,783507827476,paused,KeywordView report,,36,4,7.2298,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,male primary care doctors near me,Broad,322930161988,paused,KeywordView report,,13,2,4.68,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,men health clinic near me,Broad,809666013740,paused,KeywordView report,,18,1,0.2865,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,men's clinic near me,Broad,300558794055,paused,KeywordView report,,15,0,0,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,men's doctor near me,Broad,418469253323,paused,KeywordView report,,11,0,0,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,men's health doctor near me,Broad,327528920044,paused,KeywordView report,,34,2,0.47,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,men's physician near me,Broad,827344859410,paused,KeywordView report,,0,0,0,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,men's specialist doctor near me,Broad,1016846386681,paused,KeywordView report,,55,4,2.0171,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,naturopath for erectile dysfunction,Broad,2362109076957,paused,KeywordView report,,22,5,1.3678,0,,Eligible
Men's Health,201177674047,ENABLED,1.3,naturopath for prostate,Broad,2489305179026,paused,KeywordView report,,15,1,0.319,0,,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,alternative medicine doctors near me,Phrase,297466350908,enabled,KeywordView report,YES,1,0,0,0,,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,alternative medicine near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Naturopath Near Me — Core,201177654927,ENABLED,2.5,best naturopath near me,Broad,346755549738,enabled,KeywordView report,YES,30,0,0,0,8,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,best naturopathic doctor near me,Broad,296836537841,enabled,KeywordView report,YES,0,0,0,0,,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,holistic dr near me,Broad,296740931208,enabled,KeywordView report,YES,163,4,4.7085,2,7,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,natural doctor near me,Phrase,301055025575,enabled,KeywordView report,YES,59,7,13.5946,1,,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,natural practitioner near me,Broad,449781667092,enabled,KeywordView report,YES,2,1,1.35,0,6,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,naturopath for allergies,Broad,352183546927,enabled,KeywordView report,YES,0,0,0,0,,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,naturopathic doctor near me,Exact,44833314052,enabled,KeywordView report,YES,59,12,20.89,1,7,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,naturopathic dr near me,Broad,295411384059,enabled,KeywordView report,YES,81,2,2.8781,0,7,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,naturopathic family medicine,Broad,302483789996,enabled,KeywordView report,YES,0,0,0,0,,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,naturopathic practitioner near me,Broad,381953148433,enabled,KeywordView report,YES,202,11,21.7228,4,5,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,natural healing doctors near me,Broad,311437399568,paused,KeywordView report,,33,0,0,0,,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,naturalist dr near me,Broad,393482794014,paused,KeywordView report,,166,0,0,0,,Eligible
Naturopath Near Me — Core,201177654927,ENABLED,2.5,naturopaths in my area,Broad,468484996471,paused,KeywordView report,,239,10,23.95,0,,Eligible
Pediatrics,197488229277,ENABLED,2.4,holistic pediatricians near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Pediatrics,197488229277,ENABLED,2.4,natural pediatrician near me,Broad,352635961367,enabled,KeywordView report,YES,51,0,0,0,,Eligible
Pediatrics,197488229277,ENABLED,2.4,pediatric holistic doctor,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Pediatrics,197488229277,ENABLED,2.4,pediatric holistic doctor near me,Broad,427407324440,enabled,KeywordView report,YES,152,0,0,0,6,Eligible
Pediatrics,197488229277,ENABLED,2.4,pediatric naturopath,Broad,298624063855,enabled,KeywordView report,YES,2,0,0,0,6,Eligible
Pediatrics,197488229277,ENABLED,2.4,pediatric naturopath near me,Broad,547692999832,enabled,KeywordView report,YES,332,8,14.5862,2,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,Hashimoto's naturopath,Phrase,2490112250808,enabled,KeywordView report,YES,1,0,0,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,PCOS naturopath near me,Phrase,1645808761396,enabled,KeywordView report,YES,0,0,0,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,endometriosis specialist near me,Phrase,313019455439,enabled,KeywordView report,YES,2,1,2.86,0,5,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,female naturopath near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,fertility naturopath near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,holistic hormone doctor near me,Phrase,825924214050,enabled,KeywordView report,YES,2,1,4.43,0,5,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,holistic pcos doctor,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,holistic thyroid doctors near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,hormone doctor near me,Phrase,64408445366,enabled,KeywordView report,YES,1,0,0,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,hypothyroid specialist near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,natural fertility specialist,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,natural help for menopause,Phrase,322912570731,enabled,KeywordView report,YES,20,2,4.82,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,natural hormone doctor near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,natural hormone doctors near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,natural thyroid doctor near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,naturopath for PMS,Phrase,1368219292309,enabled,KeywordView report,YES,2,0,0,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,naturopath for endometriosis,Phrase,359506051186,enabled,KeywordView report,YES,2,2,4,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,naturopath for fertility,Phrase,344344850530,enabled,KeywordView report,YES,2,0,0,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,naturopath for hormone imbalance,Phrase,385113812838,enabled,KeywordView report,YES,0,0,0,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,naturopath for menopause,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,naturopath for pcos,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,naturopath for thyroid,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,naturopath for women's health,Phrase,1185234437233,enabled,KeywordView report,YES,0,0,0,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,pcos specialist near me,Phrase,393086251324,enabled,KeywordView report,YES,5,1,2.91,0,5,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,perimenopause doctor near me,Phrase,879175999408,enabled,KeywordView report,YES,24,3,6.42,0,5,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,perimenopause naturopath,Phrase,888598728605,enabled,KeywordView report,YES,7,0,0,0,7,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,thyroid doctor near me,Phrase,306844731577,enabled,KeywordView report,YES,0,0,0,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,women's health naturopath,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,women's hormone specialist near me,Phrase,838763769492,enabled,KeywordView report,YES,2,0,0,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,women's naturopath,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Women's Health & Hormones,192679099330,ENABLED,2.6,female naturopath,Broad,754004406845,paused,KeywordView report,,184,9,23.145,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,functional medicine for hormones,Broad,1437762701452,paused,KeywordView report,,240,18,42.0038,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,functional medicine hormones,Broad,422395640608,paused,KeywordView report,,45,5,7.59,0,,Eligible
Women's Health & Hormones,192679099330,ENABLED,2.6,naturopath for hormones,Broad,361975724615,paused,KeywordView report,,177,5,11.2774,0,,Eligible
