Campaignname,CampaignID,Campaignstatus,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,SystemServingStatus,Isnegative,Currencycode,MaxCPCCurrency,Qualityscore,SearchPredictedCtr,CreativeQualityScore,PostClickQualityScore,TopOfPageCpc,FirstpageCPC,FirstPositionCpc,EstimatedAddClicksAtFirstPositionCpc,EstimatedAddCostAtFirstPositionCpc,TrackingUrlTemplate,keywordlabels,Impressions,Clicks,interactions,engagements,Cost,Ctr,CPC,CPM,interactionrate,CostPerInteraction,Conversions,CostPerConversion,ConversionRate,ConversionValue,ROAS,EstimatedTotalConversions,EstimatedTotalConversionValue,EstimatedTotalConversionRate,CostPerAllConversion,SearchImpressionShare,SearchExactMatchImpressionShare,SearchBudgetLostImpressionShare,SearchRankLostImpressionShare,SearchTopImpressionShare,SearchAbsoluteTopImpressionShare,SearchRankLostTopImpressionShare,SearchRankLostAbsoluteTopImpressionShare,SearchBudgetLostTopImpressionShare,SearchBudgetLostAbsoluteTopImpressionShare,TopImpressionPercentage,AbsoluteTopImpressionPercentage,TotalAvailableImpressions,LostImpressions,LostImpressionsDueToRank
PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,panka natural health,700161616745,Phrase,enabled,Eligible,False,USD,0.01,10,Above average,Above average,Above average,,,,,,,,76,21,21,0,51.74,0.2763,2.4638,680.7895,0.2763,2.4638,2,25.87,0.0952,2,0.0387,13.49,13.49,0.6424,3.8354,0.8696,0.8571,0,0.1304,0.83,0.7826,0.17,0.22,0,0,0.95,0.9,87,11,11
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for women's health,820377256937,Broad,removed,,False,USD,0,,,,,,,,,,,,135,12,12,0,49.4844,0.0889,4.1237,366.5508,0.0889,4.1237,0.51,97.0281,0.0425,0.51,0.0103,8.51,8.51,0.7092,5.8148,0.0999,,0,0.0827,0.1,0.0999,0.09,0.15,0.84,0.84,0.75,0.1,1201,1081,99
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,holistic medicine Minneapolis,2431240508818,Phrase,enabled,Eligible,False,USD,2.8,5,Below average,Below average,Above average,1.51,1.29,,,,,,196,25,25,0,47.5298,0.1276,1.9012,242.4988,0.1276,1.9012,2,23.7649,0.08,65,1.3676,16,79,0.64,2.9706,0.0999,0.1949,0,0.0771,0.1,0.0999,0.08,0.12,0.86,0.86,0.78,0.29,1942,1748,150
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,integrative medicine near me,312654897788,Broad,removed,,False,USD,0,,,,,,,,,,,,283,20,20,0,47.2688,0.0707,2.3634,167.0275,0.0707,2.3634,0,,0,0,0,7,7,0.35,6.7527,0.0999,0.1687,0,0.102,0.1,0.0999,0.11,0.12,0.87,0.87,0.76,0.23,2733,2460,279
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medicine doctors near me,300278964675,Broad,removed,,False,USD,0,,,,,,,,,,,,470,21,21,0,43.2201,0.0447,2.0581,91.9577,0.0447,2.0581,2,21.6101,0.0952,66,1.5271,15,79,0.7143,2.8813,0.0999,0.2209,0,0.0832,0.1,0.0999,0.09,0.1,0.9,0.9,0.71,0.21,4264,3838,355
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,functional medicine for hormones,1437762701452,Broad,paused,Eligible,False,USD,2.6,,,,,9.39,7.4,,,,,,240,18,18,0,42.0038,0.075,2.3335,175.0158,0.075,2.3335,0,,0,0,0,4,4,0.2222,10.5009,0.0999,,0,0.0733,0.1,0.0999,0.08,0.1,0.9,0.9,0.72,0.21,2102,1892,154
Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,pediatric holistic doctor,307044124532,Broad,removed,,False,USD,0,,,,,,,,,,,,295,20,20,0,41.0639,0.0678,2.0532,139.1997,0.0678,2.0532,2,20.532,0.1,65,1.5829,11,74,0.55,3.7331,0.0999,0.2188,0,0.0672,0.1,0.0999,0.07,0.08,0.9,0.9,0.79,0.24,2633,2370,177
Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,holistic pediatricians near me,352635960607,Broad,removed,,False,USD,0,,,,,,,,,,,,364,21,21,0,36.5105,0.0577,1.7386,100.3037,0.0577,1.7386,3,12.1702,0.1429,67,1.8351,15,79,0.7143,2.434,0.0999,0.3053,0,0.0978,0.1,0.0999,0.11,0.14,0.84,0.84,0.75,0.21,3133,2820,307
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,alternative medicine near me,488185819912,Broad,removed,,False,USD,0,,,,,,,,,,,,276,18,18,0,33.5174,0.0652,1.8621,121.44,0.0652,1.8621,1,33.5174,0.0556,0,0,5,4,0.2778,6.7035,0.0999,0.0999,0,0.0787,0.1,0.0999,0.08,0.09,0.9,0.9,0.64,0.19,1912,1721,151
PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,panka natural health,817739186789,Exact,removed,,False,USD,0,,,,,,,,,,,,204,19,19,0,32.9371,0.0931,1.7335,161.4563,0.0931,1.7335,17,1.9375,0.8947,305,9.2601,53.01,970.01,2.79,0.6213,0.75,0.75,0,0.2179,0.67,0.6026,0.29,0.37,0.03,0.03,0.9,0.8,272,68,59
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,women's hormone specialist near me,545947326693,Broad,removed,,False,USD,0,,,,,,,,,,,,316,15,15,0,31.1869,0.0475,2.0791,98.6926,0.0475,2.0791,2,15.5934,0.1333,130,4.1684,8,136,0.5333,3.8984,0.0999,0.0999,0,0.065,0.1,0.0999,0.07,0.08,0.9,0.9,0.68,0.22,2332,2099,152
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for hormone imbalance,348667139225,Broad,removed,,False,USD,0,,,,,,,,,,,,272,13,13,0,28.4227,0.0478,2.1864,104.4953,0.0478,2.1864,2,14.2114,0.1538,130,4.5738,9,137,0.6923,3.1581,0.0999,0.1667,0,0.0682,0.1,0.0999,0.07,0.08,0.9,0.9,0.67,0.2,2312,2081,158
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Eligible,False,USD,0.01,,,,,1.51,1.29,,,,,,89,8,8,0,27.28,0.0899,3.41,306.5169,0.0899,3.41,8.5,3.2094,1.0625,8.5,0.3116,9.5,9.5,1.1875,2.8716,0.5417,0.6393,0,0.3194,0.52,0.2535,0.34,0.61,0.14,0.14,0.95,0.46,164,75,52
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,alternative medicine doctors near me,296836537601,Broad,enabled,Eligible,False,USD,0.01,,,,,4.4,4.4,,,,,,184,14,14,0,26.0092,0.0761,1.8578,141.3542,0.0761,1.8578,3,8.6697,0.2143,3,0.1153,5,5,0.3571,5.2018,0.0999,,0,0.711,0.1,0.0999,0.73,0.78,0.21,0.21,0.76,0.15,1481,1333,1053
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,men's health naturopath,943798649025,Broad,enabled,Eligible,False,USD,0.01,,,,,1.51,1.29,,,,,,204,12,12,0,25.5037,0.0588,2.1253,125.0182,0.0588,2.1253,3,8.5012,0.25,3,0.1176,3,3,0.25,8.5012,0.1409,,0,0.73,0.11,0.0999,0.76,0.82,0.13,0.13,0.8,0.34,1334,1146,974
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,functional medicine,10957761,Broad,enabled,Eligible,False,USD,0.01,3,Below average,Below average,Average,,,,,,,,186,7,7,0,25.46,0.0376,3.6371,136.8818,0.0376,3.6371,0.02,1273.0011,0.0029,1.06,0.0416,1.02,2.07,0.1457,24.9608,0.1268,0.2222,0,0.5821,0.1,0.0999,0.65,0.67,0.29,0.29,0.51,0.29,1230,1074,716
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,naturopaths in my area,468484996471,Broad,paused,Eligible,False,USD,2.5,,,,,1.95,1.95,,,,,,239,10,10,0,23.95,0.0418,2.395,100.2092,0.0418,2.395,0,,0,0,0,1,1,0.1,23.95,0.0999,0.0999,0,0.0854,0.1,0.0999,0.09,0.1,0.89,0.89,0.67,0.24,2032,1829,174
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,female naturopath,754004406845,Broad,paused,Eligible,False,USD,2.6,,,,,2.65,2.2,,,,,,184,9,9,0,23.145,0.0489,2.5717,125.7883,0.0489,2.5717,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.0784,0.1,0.0999,0.09,0.09,0.9,0.9,0.6,0.26,1692,1523,133
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,natural medicine Minnesota,2457285928234,Broad,enabled,Eligible,False,USD,0.01,,,,,4.09,1.53,,,,,,97,10,10,0,22.8206,0.1031,2.2821,235.2634,0.1031,2.2821,12,1.9017,1.2,12,0.5258,16,16,1.6,1.4263,0.1266,0.5,0,0.438,0.1,0.0999,0.45,0.51,0.45,0.45,0.81,0.33,679,593,297
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,naturopathic practitioner near me,381953148433,Broad,enabled,Eligible,False,USD,2.5,5,Below average,Above average,Average,4.73,2.7,,,,,,202,11,11,0,21.7228,0.0545,1.9748,107.5386,0.0545,1.9748,4,5.4307,0.3636,68,3.1304,11,75,1,1.9748,0.0999,0.1875,0,0.1009,0.1,0.0999,0.1,0.12,0.88,0.88,0.7,0.21,1471,1324,148
PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,panka health,891630859085,Exact,enabled,Eligible,False,USD,0.01,10,Above average,Above average,Above average,,,,,,,,32,10,10,0,21.6892,0.3125,2.1689,677.787,0.3125,2.1689,1.2,18.0743,0.12,47.27,2.1794,1.63,47.7,0.163,13.3062,0.9474,0.9474,0,0,0.84,0.7895,0.11,0.16,0.05,0.05,0.89,0.83,34,2,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,naturopathic dr near me,295411384059,Broad,enabled,Eligible,False,USD,0.01,,,,,4.69,4.69,,,,,,107,7,7,0,21.2647,0.0654,3.0378,198.7355,0.0654,3.0378,0,,0,0,0,2,2,0.2857,10.6323,0.1202,0.5,0,0.7213,0.1,0.0999,0.75,0.79,0.16,0.16,0.75,0.41,674,593,486
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional doctor,6450933240,Broad,removed,,False,USD,0,,,,,,,,,,,,184,9,9,0,21.1424,0.0489,2.3492,114.9043,0.0489,2.3492,0,,0,0,0,7,7,0.7778,3.0203,0.1087,0.1319,0,0.1449,0.1,0.0999,0.15,0.21,0.76,0.76,0.74,0.2,1528,1362,221
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,naturopathic doctor near me,44833314052,Exact,enabled,Eligible,False,USD,3,7,Average,Average,Above average,19.12,9.5,,,,,,59,12,12,0,20.89,0.2034,1.7408,354.0678,0.2034,1.7408,1,20.89,0.0833,1,0.0479,11,11,0.9167,1.8991,0.1226,0.1226,0,0.0272,0.1,0.0999,0.04,0.1,0.86,0.86,0.84,0.33,481,422,13
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Eligible,False,USD,2.6,8,Average,Above average,Above average,1.51,1.29,,,,,,77,8,8,0,20.5537,0.1039,2.5692,266.9314,0.1039,2.5692,0,,0,0,0,7,7,0.875,2.9362,0.1796,0.2214,0,0.0349,0.13,0.0999,0.06,0.13,0.81,0.81,0.82,0.36,429,352,15
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,naturopath for men,1188678630711,Broad,removed,,False,USD,0,,,,,,,,,,,,170,16,16,0,20.0043,0.0941,1.2503,117.6726,0.0941,1.2503,1,20.0043,0.0625,0,0,3,2,0.1875,6.6681,0.0999,,0,0.0887,0.1,0.0999,0.09,0.1,0.9,0.9,0.75,0.25,801,721,71
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,fertility naturopath near me,614462052706,Broad,removed,,False,USD,0,,,,,,,,,,,,135,7,7,0,18.2467,0.0519,2.6067,135.161,0.0519,2.6067,1.98,9.2155,0.2829,128.94,7.0665,9.98,136.93,1.4257,1.8283,0.0999,0.1034,0,0.0704,0.1,0.0999,0.08,0.1,0.89,0.89,0.66,0.14,1011,910,71
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,female naturopath near me,838600258955,Broad,removed,,False,USD,0,,,,,,,,,,,,295,10,10,0,17.9013,0.0339,1.7901,60.6825,0.0339,1.7901,1,17.9013,0.1,65,3.631,4,68,0.4,4.4753,0.0999,0.16,0,0.0734,0.1,0.0999,0.08,0.1,0.9,0.9,0.68,0.17,2543,2289,187
PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,haley panka,584357309429,Phrase,enabled,Eligible,False,USD,0.01,9,Above average,Average,Above average,,,,,,,,25,5,5,0,17.86,0.2,3.572,714.4,0.2,3.572,0,,0,0,0,4,4,0.8,4.465,0.8667,0.9,0,0,0.73,0.7333,0.13,0.13,0.13,0.13,0.85,0.85,29,4,0
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional holistic medicine,571407136794,Broad,removed,,False,USD,0,,,,,,,,,,,,87,5,5,0,17.7471,0.0575,3.5494,203.9901,0.0575,3.5494,0,,0,0,0,3,3,0.6,5.9157,0.0999,,0,0.0971,0.1,0.0999,0.1,0.11,0.89,0.89,0.53,0.2,761,685,74
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,integrative medicine doctors in my area,839460690233,Broad,paused,Eligible,False,USD,1.9,,,,,29.55,12.03,,,,,,212,8,8,0,16.8097,0.0377,2.1012,79.291,0.0377,2.1012,0.02,840.4844,0.0025,1.57,0.0934,2.05,3.59,0.2563,8.1998,0.0999,0.0999,0,0.0814,0.1,0.0999,0.08,0.09,0.9,0.9,0.71,0.29,2002,1802,163
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,natural functional doctor,1656993030415,Broad,removed,,False,USD,0,,,,,,,,,,,,134,9,9,0,15.7951,0.0672,1.755,117.8736,0.0672,1.755,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.0922,0.1,0.0999,0.1,0.12,0.87,0.87,0.71,0.26,951,856,88
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,integrative doctor,671679616,Broad,removed,,False,USD,0,,,,,,,,,,,,95,6,6,0,14.6886,0.0632,2.4481,154.6173,0.0632,2.4481,0,,0,0,0,0,0,0,,0.1278,0.2778,0,0.1444,0.12,0.0999,0.15,0.22,0.73,0.73,0.91,0.39,642,560,93
Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,pediatric naturopath near me,547692999832,Broad,enabled,Eligible,False,USD,2.4,,,,,1.04,1.04,,,,,,332,8,8,0,14.5862,0.0241,1.8233,43.9343,0.0241,1.8233,2,7.2931,0.25,65,4.4563,7,70,0.875,2.0837,0.0999,0.1667,0,0.0915,0.1,0.0999,0.1,0.1,0.89,0.89,0.63,0.13,2793,2514,256
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional integrative doctor,321395752246,Broad,paused,Eligible,False,USD,1.9,,,,,3.06,3.06,,,,,,240,9,9,0,14.44,0.0375,1.6044,60.1667,0.0375,1.6044,0,,0,0,0,1,1,0.1111,14.44,0.0999,0.1667,0,0.0859,0.1,0.0999,0.09,0.1,0.9,0.9,0.66,0.13,1892,1703,162
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,women's health naturopath,303396160999,Broad,enabled,Eligible,False,USD,0.01,,,,,0.34,0.34,,,,,,52,5,5,0,13.9935,0.0962,2.7987,269.1063,0.0962,2.7987,2,6.9968,0.4,2,0.1429,2,2,0.4,6.9968,0.0999,,0,0.8281,0.1,0.0999,0.83,0.85,0.14,0.14,0.77,0.2,450,405,373
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,natural doctor near me,301055025575,Phrase,enabled,Eligible,False,USD,2.5,,,,,7.79,2.78,,,,,,59,7,7,0,13.5946,0.1186,1.9421,230.4174,0.1186,1.9421,1,13.5946,0.1429,65,4.7813,2,66,0.2857,6.7973,0.2048,0.2045,0,0.1245,0.18,0.0999,0.14,0.26,0.69,0.69,0.89,0.28,288,229,36
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional integrative medicine near me,807453047019,Broad,removed,,False,USD,0,,,,,,,,,,,,350,7,7,0,13.54,0.02,1.9343,38.6857,0.02,1.9343,1,13.54,0.1429,0,0,2,1,0.2857,6.77,0.0999,0.5,0,0.0797,0.1,0.0999,0.08,0.09,0.9,0.9,0.67,0.2,3223,2901,257
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medical clinic,302737127452,Broad,removed,,False,USD,0,,,,,,,,,,,,78,4,4,0,13.3323,0.0513,3.3331,170.9273,0.0513,3.3331,0,,0,0,0,2,2,0.5,6.6662,0.0999,0.0999,0,0.0291,0.1,0.0999,0.03,0.06,0.9,0.9,0.68,0.25,711,640,21
PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,jacob panka,569752648940,Phrase,enabled,Eligible,False,USD,0.01,,,,,,,,,,,,8,4,4,0,13.201,0.5,3.3003,1650.1303,0.5,3.3003,2.01,6.5677,0.5025,2.01,0.1523,6.01,6.01,1.5025,2.1965,0.8571,0.6667,0,0,0.86,0.8571,0,0,0.14,0.14,1,1,9,1,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2431240508818,Phrase,enabled,Eligible,False,USD,0.01,,,,,1.51,1.29,,,,,,69,5,5,0,12.15,0.0725,2.43,176.087,0.0725,2.43,4,3.0375,0.8,4,0.3292,5,5,1,2.43,0.17,0.6,0,0.73,0.16,0.0999,0.75,0.85,0.1,0.1,0.91,0.32,406,337,296
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medicines,356292017233,Broad,removed,,False,USD,0,,,,,,,,,,,,40,3,3,0,11.9083,0.075,3.9694,297.7082,0.075,3.9694,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.026,0.1,0.0999,0.03,0.05,0.9,0.9,1,0.38,360,324,9
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,alternative medicine doctors near me,296836537601,Broad,removed,,False,USD,0,,,,,,,,,,,,121,4,4,0,11.9061,0.0331,2.9765,98.3972,0.0331,2.9765,1,11.9061,0.25,65,5.4594,4,68,1,2.9765,0.0999,0.15,0,0.0956,0.1,0.0999,0.1,0.16,0.82,0.82,0.81,0.27,771,694,74
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for hormones,361975724615,Broad,paused,Eligible,False,USD,2.6,,,,,0.31,0.23,,,,,,177,5,5,0,11.2774,0.0282,2.2555,63.7143,0.0282,2.2555,0,,0,0,0,1,1,0.2,11.2774,0.0999,1,0,0.0735,0.1,0.0999,0.08,0.09,0.9,0.9,0.7,0.33,1421,1279,104
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,holistic medicine Minneapolis,2457285927994,Broad,removed,,False,USD,0,,,,,,,,,,,,191,7,7,0,11.27,0.0366,1.61,59.0052,0.0366,1.61,3.5,3.22,0.5,3.5,0.3106,9.5,9.5,1.3571,1.1863,0.0999,,0,0.2026,0.1,0.0999,0.21,0.26,0.73,0.73,0.75,0.18,1792,1613,363
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional doctor in my area,322898019488,Broad,paused,Eligible,False,USD,1.9,,,,,0.45,0.45,,,,,,246,7,7,0,10.2509,0.0285,1.4644,41.6704,0.0285,1.4644,1,10.2509,0.1429,65,6.3409,5,69,0.7143,2.0502,0.0999,0.1667,0,0.1049,0,0,0,0,0,0,0,0,2152,1937,226
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medical physician,298906613408,Broad,removed,,False,USD,0,,,,,,,,,,,,131,6,6,0,10.1679,0.0458,1.6946,77.6173,0.0458,1.6946,0,,0,0,0,3,3,0.5,3.3893,0.0999,0.1111,0,0.1787,0.1,0.0999,0.18,0.21,0.78,0.78,0.59,0.18,1211,1090,216
PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,dr haley panka,2484456293679,Exact,enabled,Eligible,False,USD,0.01,9,Above average,Average,Above average,,,,,,,,7,3,3,0,10.1289,0.4286,3.3763,1446.9926,0.4286,3.3763,4,2.5322,1.3333,4,0.3949,10,10,3.3333,1.0129,1,1,0,0,1,0.75,0,0.25,0,0,1,0.75,7,0,0
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,adrenal fatigue doctor near me,324534626810,Broad,removed,,False,USD,0,,,,,,,,,,,,68,8,8,0,9.745,0.1176,1.2181,143.3087,0.1176,1.2181,2,4.8725,0.25,130,13.3402,6,134,0.75,1.6242,0.0999,,0,0.2222,0.1,0,0.22,0,0.72,0,0.67,0,310,279,69
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,Hashimoto's naturopath,2370185008978,Broad,removed,,False,USD,0,,,,,,,,,,,,95,4,4,0,9.5596,0.0421,2.3899,100.6278,0.0421,2.3899,2,4.7798,0.5,130,13.5988,5,133,1.25,1.9119,0.0999,,0,0.0858,0.1,0.0999,0.1,0.11,0.89,0.89,0.54,0.24,791,712,68
