source,bucket,can_serve_today,adgroup,adgroup_status,keyword,match_type,keyword_status,lifetime_impressions,lifetime_clicks,lifetime_cost,lifetime_primary_conversions,lifetime_all_conversions,never_clicked,never_served,first_month,last_month,clears_money_bar_20usd,clears_evidence_bar_15clicks,zero_on_all_conversions,verdict,regimeE_impressions_2026_08_09,regimeE_clicks_2026_08_09,regimeE_cost_2026_08_09
KeywordView,A_live,YES,Functional & Integrative Medicine,enabled,functional medicine,Phrase,enabled,14,0,0.0,0,0.0,YES,,2026|09,2026|09,NO,NO,YES,INSUFFICIENT DATA - live but below bars,14,0,0.0
campaign resource (no reportable stats),A_live,YES,Functional & Integrative Medicine,ENABLED,functional medicine clinic near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Geo-Qualified — Hopkins & West Metro,enabled,functional medicine doctor hopkins,Phrase,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
KeywordView,A_live,YES,Geo-Qualified — Hopkins & West Metro,enabled,functional medicine doctor minnetonka,Phrase,enabled,2,0,0.0,0,0.0,YES,,2026|08,2026|09,NO,NO,YES,INSUFFICIENT DATA - live but below bars,2,0,0.0
campaign resource (no reportable stats),A_live,YES,Functional & Integrative Medicine,ENABLED,functional medicine doctors near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Functional & Integrative Medicine,ENABLED,functional medicine near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Functional & Integrative Medicine,ENABLED,functional medicine practice near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Functional & Integrative Medicine,enabled,functional medicine practitioner,Phrase,enabled,3,0,0.0,0,0.0,YES,,2026|09,2026|09,NO,NO,YES,INSUFFICIENT DATA - live but below bars,3,0,0.0
campaign resource (no reportable stats),A_live,YES,Functional & Integrative Medicine,ENABLED,functional medicine practitioner in my area,Broad,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Geo-Qualified — Hopkins & West Metro,ENABLED,holistic doctor Hopkins MN,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,holistic doctor for men near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Geo-Qualified — Hopkins & West Metro,ENABLED,holistic healthcare Minneapolis,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,holistic pcos doctor,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Pediatrics,ENABLED,holistic pediatricians near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,holistic thyroid doctors near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,hormone doctor near me,Phrase,enabled,1,0,0.0,0,0.0,YES,,2026|09,2026|09,NO,NO,YES,INSUFFICIENT DATA - live but below bars,1,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,hypothyroid specialist near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Functional & Integrative Medicine,enabled,integrative health near me,Phrase,enabled,2,0,0.0,0,0.0,YES,,2026|08,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,2,0,0.0
campaign resource (no reportable stats),A_live,YES,Geo-Qualified — Hopkins & West Metro,ENABLED,integrative medicine Hopkins MN,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Functional & Integrative Medicine,enabled,integrative medicine near me,Phrase,enabled,15,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,low testosterone natural treatment,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,male clinic near me,Broad,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,men's health naturopath,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Men's Health,enabled,men's hormone doctor near me,Phrase,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,natural fertility specialist,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,natural hormone doctor near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,natural hormone doctors near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Geo-Qualified — Hopkins & West Metro,ENABLED,natural medicine Minnesota,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Geo-Qualified — Hopkins & West Metro,ENABLED,natural medicine doctor Minnesota,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Pediatrics,enabled,natural pediatrician near me,Broad,enabled,51,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,natural prostate treatment near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,natural testosterone doctor near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,natural thyroid doctor near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,naturopath for PMS,Phrase,enabled,2,0,0.0,0,0.0,YES,,2026|07,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,1,0,0.0
KeywordView,A_live,YES,Naturopath Near Me — Core,enabled,naturopath for allergies,Broad,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,naturopath for athletic performance,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,naturopath for fertility,Phrase,enabled,2,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,naturopath for hormone imbalance,Phrase,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,naturopath for low testosterone,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,naturopath for men,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,naturopath for men's health,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,naturopath for menopause,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,naturopath for pcos,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,naturopath for prostate health,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,naturopath for testosterone,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,naturopath for thyroid,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,naturopath for women's health,Phrase,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Geo-Qualified — Hopkins & West Metro,ENABLED,naturopathic doctor Hopkins MN,Exact,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Naturopath Near Me — Core,enabled,naturopathic family medicine,Broad,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Geo-Qualified — Hopkins & West Metro,ENABLED,naturopathic physician Hopkins,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Pediatrics,ENABLED,pediatric holistic doctor,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Pediatrics,enabled,pediatric holistic doctor near me,Broad,enabled,152,0,0.0,0,0.0,YES,,2026|07,2026|09,NO,NO,YES,INSUFFICIENT DATA - live but below bars,83,0,0.0
KeywordView,A_live,YES,Pediatrics,enabled,pediatric naturopath,Broad,enabled,2,0,0.0,0,0.0,YES,,2026|08,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,2,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,perimenopause naturopath,Phrase,enabled,7,0,0.0,0,0.0,YES,,2026|07,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,5,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,thyroid doctor near me,Phrase,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,women's health naturopath,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,women's hormone specialist near me,Phrase,enabled,2,0,0.0,0,0.0,YES,,2026|09,2026|09,NO,NO,YES,INSUFFICIENT DATA - live but below bars,2,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,women's naturopath,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,B_paused,NO,Women's Health & Hormones,enabled,functional medicine for hormones,Broad,paused,240,18,42.0,0,4.0,,,2026|07,2026|09,YES,YES,NO,MOOT - already paused,133,15,35.73
KeywordView,B_paused,NO,Naturopath Near Me — Core,enabled,naturopaths in my area,Broad,paused,239,10,23.95,0,1.0,,,2026|07,2026|09,YES,NO,NO,MOOT - already paused,120,2,3.24
KeywordView,B_paused,NO,Women's Health & Hormones,enabled,female naturopath,Broad,paused,184,9,23.14,0,0.0,,,2026|08,2026|09,YES,NO,YES,MOOT - already paused,184,9,23.14
KeywordView,B_paused,NO,Functional & Integrative Medicine,enabled,functional integrative doctor,Broad,paused,240,9,14.44,0,1.0,,,2026|07,2026|09,NO,NO,NO,MOOT - already paused,239,9,14.44
KeywordView,B_paused,NO,Women's Health & Hormones,enabled,naturopath for hormones,Broad,paused,177,5,11.28,0,1.0,,,2026|07,2026|09,NO,NO,NO,MOOT - already paused,92,4,8.63
KeywordView,B_paused,NO,Women's Health & Hormones,enabled,functional medicine hormones,Broad,paused,45,5,7.59,0,2.0,,,2026|07,2026|08,NO,NO,NO,MOOT - already paused,37,3,6.51
KeywordView,B_paused,NO,Functional & Integrative Medicine,enabled,functional medicine doctors in my area,Broad,paused,168,3,7.23,0,0.0,,,2026|07,2026|08,NO,NO,YES,MOOT - already paused,29,0,0.0
KeywordView,B_paused,NO,Men's Health,enabled,male medical clinic near me,Broad,paused,36,4,7.23,0,0.0,,,2026|07,2026|08,NO,NO,YES,MOOT - already paused,15,2,2.15
KeywordView,B_paused,NO,Men's Health,enabled,male primary care doctors near me,Broad,paused,13,2,4.68,0,0.0,,,2026|07,2026|08,NO,NO,YES,MOOT - already paused,1,0,0.0
KeywordView,B_paused,NO,Men's Health,enabled,men's specialist doctor near me,Broad,paused,55,4,2.02,0,0.0,,,2026|07,2026|08,NO,NO,YES,MOOT - already paused,42,1,1.02
KeywordView,B_paused,NO,Men's Health,enabled,naturopath for erectile dysfunction,Broad,paused,22,5,1.37,0,0.0,,,2026|07,2026|07,NO,NO,YES,MOOT - already paused,0,0,0.0
KeywordView,B_paused,NO,Men's Health,enabled,men's health doctor near me,Broad,paused,34,2,0.47,0,0.0,,,2026|07,2026|07,NO,NO,YES,MOOT - already paused,0,0,0.0
KeywordView,B_paused,NO,Men's Health,enabled,naturopath for prostate,Broad,paused,15,1,0.32,0,0.0,,,2026|07,2026|07,NO,NO,YES,MOOT - already paused,0,0,0.0
KeywordView,B_paused,NO,Men's Health,enabled,men health clinic near me,Broad,paused,18,1,0.29,0,0.0,,,2026|07,2026|07,NO,NO,YES,MOOT - already paused,0,0,0.0
KeywordView,B_paused,NO,Men's Health,enabled,best mens doctor near me,Broad,paused,1,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,MOOT - already paused,0,0,0.0
KeywordView,B_paused,NO,Men's Health,enabled,male health doctor near me,Broad,paused,1,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,MOOT - already paused,0,0,0.0
KeywordView,B_paused,NO,Men's Health,enabled,men's clinic near me,Broad,paused,15,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,MOOT - already paused,0,0,0.0
KeywordView,B_paused,NO,Men's Health,enabled,men's doctor near me,Broad,paused,11,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,MOOT - already paused,0,0,0.0
KeywordView,B_paused,NO,Men's Health,enabled,men's physician near me,Broad,paused,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,MOOT - already paused,0,0,0.0
KeywordView,B_paused,NO,Naturopath Near Me — Core,enabled,natural healing doctors near me,Broad,paused,33,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,MOOT - already paused,0,0,0.0
KeywordView,B_paused,NO,Naturopath Near Me — Core,enabled,naturalist dr near me,Broad,paused,166,0,0.0,0,0.0,YES,,2026|07,2026|09,NO,NO,YES,MOOT - already paused,139,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,integrative medicine near me,Broad,removed,283,20,47.27,0,7.0,,,2026|07,2026|08,YES,YES,NO,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",107,7,16.13
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,functional doctor,Broad,removed,184,9,21.14,0,7.0,,,2026|07,2026|07,YES,NO,NO,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,functional holistic medicine,Broad,removed,87,5,17.75,0,3.0,,,2026|07,2026|08,NO,NO,NO,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",57,5,17.75
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,natural functional doctor,Broad,removed,134,9,15.8,0,0.0,,,2026|07,2026|08,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",96,8,13.93
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,integrative doctor,Broad,removed,95,6,14.69,0,0.0,,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,functional medical clinic,Broad,removed,78,4,13.33,0,2.0,,,2026|07,2026|07,NO,NO,NO,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,functional medicines,Broad,removed,40,3,11.91,0,0.0,,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,functional medical physician,Broad,removed,131,6,10.17,0,3.0,,,2026|07,2026|07,NO,NO,NO,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Geo-Qualified — Hopkins & West Metro,enabled,natural medicine Minnesota,Broad,removed,244,4,9.4,0,6.0,,,2026|07,2026|07,NO,NO,NO,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,integrated and functional medicine,Broad,removed,36,3,9.1,0,0.0,,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,functional medicine clinic near me,Broad,removed,92,4,8.7,0,1.0,,,2026|07,2026|09,NO,NO,NO,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",86,4,8.7
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,natural help for menopause,Broad,removed,108,3,8.62,0,0.0,,,2026|08,2026|08,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",108,3,8.62
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,functional medicine practitioner,Broad,removed,90,4,7.26,0,0.0,,,2026|08,2026|09,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",90,4,7.26
KeywordView,D_criterion_removed,NO,Geo-Qualified — Hopkins & West Metro,enabled,functional medicine doctor eden prairie,Broad,removed,78,2,4.87,0,0.0,,,2026|07,2026|08,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",22,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,best functional doctors near me,Broad,removed,59,2,4.52,0,1.0,,,2026|07,2026|08,NO,NO,NO,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",16,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,functional medical doctors,Broad,removed,29,2,3.75,0,0.0,,,2026|07,2026|09,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",22,2,3.75
KeywordView,D_criterion_removed,NO,Men's Health,enabled,men's health naturopath,Broad,removed,73,8,3.69,0,0.0,,,2026|07,2026|08,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",25,2,1.59
KeywordView,D_criterion_removed,NO,Men's Health,enabled,holistic doctor for men near me,Broad,removed,42,3,3.52,0,0.0,,,2026|07,2026|08,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",26,2,3.3
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,naturopath for fertility,Broad,removed,38,2,3.28,0,0.0,,,2026|07,2026|08,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",10,1,3.11
