Campaignname,CampaignID,AssetGroupName,AssetGroupID,AdID,AssetRole,Position,Text,URL,Notes
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,1,Dedicated Naturopathic Team,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,2,West Suburbs' Trusted NDs,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,3,Hopkins Naturopathic Doctors,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,4,Smart Health Investment,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,5,Expert Naturopathic Care Team,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,6,HSA/FSA Accepted Here,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,7,Find Your Root Cause,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,8,Start Your Healing Journey,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,9,Prevent Health Problems,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,10,Executive Health Care,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,11,Direct Pay Health Care,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,12,Licensed Naturopathic Doctors,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,13,Holistic Care for Your Family,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,14,West Metro Naturopathic Drs.,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Headline,15,Your Path to Better Health,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Description,1,West Metro NDs: Skip insurance hassles. Direct-pay care that works. Evidence-based.,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Description,2,Hopkins natural medicine: Avoid expensive specialists. Save money with a free intro call.,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Description,3,Early detection saves thousands. Advanced labs + natural solutions. Free intro call.,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Description,4,"Autoimmune, GI, hormone help without drugs. Hopkins experts.",,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,LongHeadline,1,Energy + digestion problems? Hopkins functional medicine prevents costly complications.,,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Image,1,portrait,https://tpc.googlesyndication.com/simgad/12754121246613000466,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Image,1,main,https://tpc.googlesyndication.com/simgad/2567197029820931739,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Image,1,square,https://tpc.googlesyndication.com/simgad/3719112441908299056,
Campaign #1,22625352639,Asset Group 1,6582377332,6582377332,Logo,1,Panka Natural Health,https://tpc.googlesyndication.com/simgad/6003626421950632542,
