month,ads_spend_usd,ads_impressions,ads_clicks,ads_avg_cpc_usd,ads_conversions_as_reported,ads_conversions_like_for_like,ads_cpa_like_for_like_usd,ads_spend_search_campaign_usd,ads_conversions_lfl_search_campaign,ads_cpa_lfl_search_campaign_usd,ga4_sessions_total,ga4_sessions_paid_search,ga4_sessions_organic,ga4_sessions_direct,ga4_sessions_referral,ga4_purchase_events_total,ga4_purchase_events_google_cpc,gbp_profile_views,gbp_actions_total,gbp_website_clicks,gbp_direction_requests,gbp_phone_calls,gbp_bookings,data_quality_note
2023-12,,,,,,,,,,,233,0,74,128,31,3,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-01,,,,,,,,,,,383,0,137,181,65,8,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-02,,,,,,,,,,,1769,538,154,205,872,23,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; GA4 referral sessions inflated by bot/spam referrers (news.grets.store + static.seders.website + rida.tokyo); subtract before reading the referral column; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-03,,,,,,,,,,,1049,501,192,220,136,24,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; GA4 referral sessions inflated by bot/spam referrers (rida.tokyo); subtract before reading the referral column; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-04,,,,,,,,,,,671,230,167,202,72,12,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-05,,,,,,,,,,,546,225,118,154,49,17,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-06,,,,,,,,,,,679,302,132,188,57,21,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-07,,,,,,,,,,,473,146,118,142,67,23,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-08,,,,,,,,,,,314,8,130,133,43,10,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-09,,,,,,,,,,,720,267,140,213,100,15,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-10,,,,,,,,,,,698,226,196,175,100,21,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-11,,,,,,,,,,,690,264,147,177,102,12,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2024-12,,,,,,,,,,,498,162,123,159,54,2,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count; Business Profile: no data, connector cannot reach before 2025-03-08"
2025-01,,,,,,,,,,,526,50,189,160,96,2,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count; Business Profile: no data, connector cannot reach before 2025-03-08"
2025-02,,,,,,,,,,,522,52,179,186,105,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count; Business Profile: no data, connector cannot reach before 2025-03-08"
2025-03,,,,,,,,,,,531,10,223,207,91,1,0,524,103,44,56,3,0,no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count; Business Profile month partial: starts 2025-03-08
2025-04,,,,,,,,,,,442,0,186,162,94,3,0,621,130,58,68,4,0,no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count
2025-05,,,,,,,,,,,434,0,166,206,62,1,0,667,112,34,72,6,0,no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count
2025-06,357.26,9011,313,1.14,173.00,55.00,6.50,,,,840,290,183,281,86,10,0,603,119,33,83,3,0,"Ads totals include Performance Max ""Campaign #1""; its conversions were page-view actions in the thousands, so use the Leads-Search-1-only columns for any CPA; conv-regime A (Begin checkout + 3 page-view actions primary); GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count; GA4 polluted by tagassistant.google.com self-referral (operator tag tests)"
2025-07,1328.29,96212,3363,0.39,1790.00,692.00,1.92,774.63,70.00,11.07,3520,2961,230,233,80,3,0,598,101,52,43,6,0,"Ads totals include Performance Max ""Campaign #1""; its conversions were page-view actions in the thousands, so use the Leads-Search-1-only columns for any CPA; conv-regime A (Begin checkout + 3 page-view actions primary); conv-regime B (Begin checkout + 2 bio pages + /whypnh primary); GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count"
2025-08,659.60,3675,266,2.48,109.00,54.00,12.21,659.60,54.00,12.21,696,240,201,203,45,0,0,616,100,52,43,5,0,"Ads totals include Performance Max ""Campaign #1""; its conversions were page-view actions in the thousands, so use the Leads-Search-1-only columns for any CPA; conv-regime B (Begin checkout + 2 bio pages + /whypnh primary); GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count"
2025-09,0.00,0,0,,0.00,0.00,,0.00,0.00,,446,1,220,166,56,3,0,558,99,34,60,5,0,"Ads went dark 2025-08-27: campaign enabled but zero impressions all month; the 5 conversions Google shows for Sep 2025 are conversion-date spillover from August clicks, which is why click-date conversions here are 0; conv-regime B (Begin checkout + 2 bio pages + /whypnh primary); GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count"
2025-10,0.00,0,0,,0,0,,0.00,0,,1086,2,224,256,602,0,0,765,109,40,63,6,0,"DARK PERIOD: zero Ads delivery account-wide, verified zero spend not a reporting gap; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count; GA4 referral sessions inflated by bot/spam referrers (wake-up-network.com); subtract before reading the referral column"
2025-11,0.00,0,0,,0,0,,0.00,0,,598,0,199,300,95,7,0,622,83,27,52,4,0,"DARK PERIOD: zero Ads delivery account-wide, verified zero spend not a reporting gap; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count"
2025-12,0.00,0,0,,0,0,,0.00,0,,386,0,161,164,57,1,0,519,73,18,52,3,0,"DARK PERIOD: zero Ads delivery account-wide, verified zero spend not a reporting gap; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count"
2026-01,0.00,0,0,,0,0,,0.00,0,,637,1,256,316,61,2,0,602,90,44,41,5,0,"DARK PERIOD: zero Ads delivery account-wide, verified zero spend not a reporting gap; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count"
2026-02,0.00,0,0,,0,0,,0.00,0,,519,0,224,241,53,1,0,497,104,35,67,2,0,"DARK PERIOD: zero Ads delivery account-wide, verified zero spend not a reporting gap; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count"
2026-03,0.00,0,0,,0,0,,0.00,0,,633,1,320,256,52,6,0,594,69,48,18,3,0,"DARK PERIOD: zero Ads delivery account-wide, verified zero spend not a reporting gap; GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count"
2026-04,186.22,1160,68,2.74,16.00,16.00,11.64,186.22,16.00,11.64,583,60,220,259,42,54,0,610,89,41,42,6,0,Ads restarted 2026-04-27; month is 4 serving days only; conv-regime D (Begin checkout primary only); GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count; GA4 polluted by tagassistant.google.com self-referral (operator tag tests)
2026-05,190.25,1138,82,2.32,20.00,20.00,9.51,190.24,20.00,9.51,793,98,269,331,88,25,2,607,95,43,52,0,0,conv-regime D (Begin checkout primary only); GA4 purchase is a mix of Acuity scheduler pages and Squarespace store orders; not a clean booking count; GA4 polluted by tagassistant.google.com self-referral (operator tag tests)
2026-06,135.07,300,39,3.46,21.02,34.00,3.97,24.06,0.00,,843,53,214,467,106,44,2,520,73,22,50,1,0,conv-regime D (Begin checkout primary only); GA4 purchase is predominantly Acuity scheduler; still overcounts real bookings by roughly 45% because one booking can fire up to three events; GA4 polluted by tagassistant.google.com self-referral (operator tag tests); GA4 polluted by ads.google.com self-referral (operator ad-preview clicks)
2026-07,673.33,6391,339,1.99,51.21,73.00,9.22,626.29,67.00,9.35,1222,350,231,532,100,39,2,596,104,40,57,7,0,"SPLICE 2026-07-12: Begin checkout counted Jul 1-11 only, GA4 schedule_appointment Jul 13-31 only; as-reported conversions for this month are two partial months of two different metrics; GA4 purchase is predominantly Acuity scheduler; still overcounts real bookings by roughly 45% because one booking can fire up to three events; GA4 polluted by ads.google.com self-referral (operator ad-preview clicks)"
2026-08,651.84,5534,315,2.07,22.00,28.00,23.28,651.84,28.00,23.28,1017,291,248,411,62,30,0,567,115,46,62,7,0,conv-regime E (GA4 schedule_appointment + purchase primary; Begin checkout secondary); GA4 purchase is predominantly Acuity scheduler; still overcounts real bookings by roughly 45% because one booking can fire up to three events; GA4 polluted by ads.google.com self-referral (operator ad-preview clicks)
2026-09,102.47,1335,50,2.05,1.00,4.00,25.62,102.47,4.00,25.62,166,35,50,68,9,6,0,81,,,,,,"conv-regime E (GA4 schedule_appointment + purchase primary; Begin checkout secondary); GA4 purchase is predominantly Acuity scheduler; still overcounts real bookings by roughly 45% because one booking can fire up to three events; PARTIAL MONTH: Ads/GA4 through 2026-09-08; Business Profile views populated only through 2026-09-04 and all action metrics still lagging, so left blank"
