row_type,name,status_2026_09_08,bid_modifier,lifetime_impressions,lifetime_clicks,lifetime_cost,lifetime_conversions,cpa,first_served,last_served,outcome,regimeE_impressions_2026_08_09,regimeE_clicks_2026_08_09,regimeE_cost_2026_08_09,regimeE_conversions,verdict
geographic_view_city,"Minneapolis, Minnesota",also a named location target,NOT EXPOSED - see notes,7590,417,979.07,109.50999999999999,8.94,2025|07,2026|09,converted,1840,84,173.11,7.0,KEEP - has converted
geographic_view_city,"Minnetonka, Minnesota",also a named location target,NOT EXPOSED - see notes,1315,87,211.26,34.0,6.21,2025|07,2026|09,converted,236,12,26.92,2.0,KEEP - has converted
geographic_view_city,"St. Louis Park, Minnesota",also a named location target,NOT EXPOSED - see notes,1263,76,197.27,17.0,11.6,2025|07,2026|09,converted,242,19,44.71,0.0,KEEP - has converted
geographic_view_city,"Plymouth, Minnesota",also a named location target,NOT EXPOSED - see notes,1184,83,192.96,23.0,8.39,2025|07,2026|09,converted,268,16,35.5,0.0,KEEP - has converted
geographic_view_city,"Edina, Minnesota",also a named location target,NOT EXPOSED - see notes,945,54,158.58,14.0,11.33,2025|07,2026|09,converted,176,10,21.03,1.0,KEEP - has converted
geographic_view_city,"Eden Prairie, Minnesota",also a named location target,NOT EXPOSED - see notes,1107,59,156.53,19.0,8.24,2025|07,2026|09,converted,227,6,12.46,1.0,KEEP - has converted
geographic_view_city,"Bloomington, Minnesota",also a named location target,NOT EXPOSED - see notes,1032,57,146.59,19.0,7.72,2025|07,2026|09,converted,263,4,8.23,0.0,KEEP - has converted
geographic_view_city,"Coon Rapids, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,462,37,90.16,10.0,9.02,2025|07,2026|09,converted,120,10,22.18,1.0,KEEP - has converted
geographic_view_city,"Chanhassen, Minnesota",also a named location target,NOT EXPOSED - see notes,452,30,81.67,4.0,20.42,2025|07,2026|09,converted,85,2,3.42,0.0,KEEP - has converted
geographic_view_city,"Saint Paul, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,651,37,74.92,5.0,14.98,2026|07,2026|08,converted,289,21,43.98,1.0,KEEP - has converted
geographic_view_city,"Hopkins, Minnesota",also a named location target,NOT EXPOSED - see notes,253,29,68.51,7.0,9.79,2025|07,2026|09,converted,45,3,5.15,0.0,KEEP - has converted
geographic_view_city,"Blaine, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,480,27,59.47,4.0,14.87,2025|07,2026|09,converted,125,6,14.85,0.0,KEEP - has converted
geographic_view_city,"Maple Grove, Minnesota",also a named location target,NOT EXPOSED - see notes,433,24,54.68,0.0,,2026|04,2026|09,ZERO conversions,185,13,33.84,0.0,WATCH - clears lifetime bars but only 13 clicks under the current (regime E) conversion definition
geographic_view_city,"Saint Anthony, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,501,24,53.98,3.0,17.99,2025|07,2026|09,converted,124,4,7.23,0.0,KEEP - has converted
geographic_view_city,"Brooklyn Park, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,424,27,52.66,10.0,5.27,2025|07,2026|09,converted,110,10,19.1,2.0,KEEP - has converted
geographic_view_city,"Little Canada, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,453,29,45.1,0.0,,2026|07,2026|09,ZERO conversions,220,21,37.81,0.0,EXCLUSION CANDIDATE - clears both bars within regime E | NOT a campaign target: only actionable as an added location EXCLUSION | already removed/not targeted - moot
geographic_view_city,"Robbinsdale, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,277,18,42.7,4.0,10.68,2025|07,2026|09,converted,47,1,0.55,0.0,KEEP - has converted
geographic_view_city,"Richfield, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,368,13,34.28,1.0,34.28,2025|07,2026|09,converted,92,3,6.87,0.0,KEEP - has converted
geographic_view_city,"Shakopee, Minnesota",also a named location target,NOT EXPOSED - see notes,267,15,32.86,0.0,,2026|07,2026|09,ZERO conversions,148,6,12.49,0.0,WATCH - clears lifetime bars but only 6 clicks under the current (regime E) conversion definition
geographic_view_city,"Burnsville, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,160,12,26.81,2.0,13.4,2026|07,2026|09,converted,78,7,15.52,1.0,KEEP - has converted
geographic_view_city,"Golden Valley, Minnesota",also a named location target,NOT EXPOSED - see notes,226,14,26.2,3.0,8.73,2025|07,2026|09,converted,50,4,8.3,0.0,KEEP - has converted
geographic_view_city,"Eagan, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,210,13,25.24,0.0,,2026|07,2026|08,ZERO conversions,79,7,17.08,0.0,"INSUFFICIENT DATA - 13 lifetime clicks, below the 15-click bar | already removed/not targeted - moot"
geographic_view_city,"Dellwood, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,66,5,23.29,0.0,,2026|07,2026|08,ZERO conversions,38,2,5.07,0.0,"INSUFFICIENT DATA - 5 lifetime clicks, below the 15-click bar | already removed/not targeted - moot"
geographic_view_city,"New Hope, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,276,11,22.22,6.0,3.7,2025|07,2026|09,converted,67,1,1.62,0.0,KEEP - has converted
geographic_view_city,"Minnetrista, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,155,10,21.56,1.0,21.56,2026|07,2026|09,converted,77,5,9.69,1.0,KEEP - has converted
geographic_view_city,"Savage, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,125,11,18.18,0.0,,2026|07,2026|09,ZERO conversions,61,8,12.39,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Lakeville, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,208,9,17.0,0.0,,2026|07,2026|08,ZERO conversions,98,7,14.96,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Dayton, Minnesota",also a named location target,NOT EXPOSED - see notes,41,6,16.24,1.0,16.24,2026|07,2026|09,converted,24,2,5.82,0.0,KEEP - has converted
geographic_view_city,"Otsego, Minnesota",also a named location target,NOT EXPOSED - see notes,154,8,16.03,0.0,,2026|07,2026|09,ZERO conversions,122,7,14.27,0.0,INSUFFICIENT DATA - under $20 lifetime
geographic_view_city,"Apple Valley, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,121,7,15.61,1.0,15.61,2026|07,2026|08,converted,54,1,2.16,1.0,KEEP - has converted
geographic_view_city,"Deephaven, Minnesota",also a named location target,NOT EXPOSED - see notes,16,5,15.35,0.0,,2026|04,2026|08,ZERO conversions,6,4,9.12,0.0,INSUFFICIENT DATA - under $20 lifetime
geographic_view_city,"Carver, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,43,6,13.51,1.0,13.51,2026|07,2026|09,converted,10,1,2.11,0.0,KEEP - has converted
geographic_view_city,"Shorewood, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,84,8,13.4,1.0,13.4,2026|07,2026|09,converted,42,4,8.2,1.0,KEEP - has converted
geographic_view_city,"Wayzata, Minnesota",also a named location target,NOT EXPOSED - see notes,115,5,12.31,1.0,12.31,2026|04,2026|09,converted,18,0,0.0,0.0,KEEP - has converted
geographic_view_city,"Victoria, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,75,6,11.03,1.0,11.03,2026|07,2026|09,converted,34,3,7.19,1.0,KEEP - has converted
geographic_view_city,"Brooklyn Center, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,109,7,10.9,0.0,,2025|07,2026|09,ZERO conversions,46,2,2.44,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Champlin, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,71,4,10.57,0.0,,2026|07,2026|09,ZERO conversions,52,3,7.14,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Saint Michael, Minnesota",also a named location target,NOT EXPOSED - see notes,53,5,10.12,1.0,10.12,2026|07,2026|09,converted,29,3,5.98,1.0,KEEP - has converted
geographic_view_city,"Lino Lakes, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,67,3,9.29,2.0,4.65,2026|07,2026|09,converted,40,1,2.32,0.0,KEEP - has converted
geographic_view_city,"Vadnais Heights, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,40,3,9.0,0.0,,2026|07,2026|09,ZERO conversions,26,2,4.88,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Waconia, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,79,3,8.85,0.51,17.35,2026|07,2026|09,converted,38,2,7.39,0.0,KEEP - has converted
geographic_view_city,"South Saint Paul, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,133,6,8.47,0.0,,2026|07,2026|08,ZERO conversions,59,3,3.11,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"North Oaks, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,81,3,7.78,0.0,,2026|07,2026|08,ZERO conversions,35,2,5.47,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Orono, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,41,4,7.77,0.0,,2026|07,2026|09,ZERO conversions,24,2,4.49,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Chaska, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,134,5,7.38,3.0,2.46,2026|07,2026|09,converted,66,3,5.6,0.0,KEEP - has converted
geographic_view_city,"Ham Lake, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,77,3,7.33,0.0,,2026|07,2026|09,ZERO conversions,47,2,4.48,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Crystal, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,124,3,7.33,8.0,0.92,2025|07,2026|09,converted,33,1,2.88,0.0,KEEP - has converted
geographic_view_city,"Oakdale, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,32,5,7.28,0.0,,2026|07,2026|08,ZERO conversions,13,4,5.53,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Rosemount, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,72,4,7.27,0.0,,2026|07,2026|08,ZERO conversions,32,1,0.34,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Corcoran, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,60,3,7.06,1.0,7.06,2026|07,2026|09,converted,33,1,2.17,0.0,KEEP - has converted
geographic_view_city,"Oak Grove, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,103,6,6.87,0.0,,2026|07,2026|09,ZERO conversions,70,2,4.07,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Mendota Heights, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,22,2,6.12,0.0,,2026|07,2026|09,ZERO conversions,15,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Spring Lake Park, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,102,4,5.4,2.0,2.7,2025|07,2026|09,converted,26,2,0.99,0.0,KEEP - has converted
geographic_view_city,"Fridley, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,55,3,5.22,0.0,,2026|07,2026|08,ZERO conversions,32,1,0.54,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Independence, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,50,3,4.78,0.0,,2026|07,2026|09,ZERO conversions,22,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Delano, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,59,3,4.61,0.0,,2026|07,2026|09,ZERO conversions,30,2,2.92,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Medina, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,31,2,3.62,1.0,3.62,2026|07,2026|09,converted,16,1,1.67,0.0,KEEP - has converted
geographic_view_city,"Maplewood, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,117,2,3.28,0.0,,2026|07,2026|09,ZERO conversions,62,1,2.2,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Prior Lake, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,73,2,3.12,1.0,3.12,2026|07,2026|09,converted,41,2,3.12,1.0,KEEP - has converted
geographic_view_city,"Falcon Heights, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,56,2,2.98,1.0,2.98,2026|07,2026|09,converted,27,1,2.03,1.0,KEEP - has converted
geographic_view_city,"West Saint Paul, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,65,3,2.97,0.0,,2026|07,2026|08,ZERO conversions,30,1,2.19,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"New Brighton, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,104,2,2.53,0.0,,2026|07,2026|08,ZERO conversions,33,1,1.26,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Mahtomedi, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,1,1,2.17,0.0,,2026|08,2026|08,ZERO conversions,1,1,2.17,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Cologne, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,9,1,1.8,0.0,,2026|07,2026|09,ZERO conversions,3,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Jordan, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,48,1,1.6,0.0,,2026|07,2026|09,ZERO conversions,21,1,1.6,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Credit River, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,4,1,1.56,0.0,,2026|07,2026|07,ZERO conversions,0,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Belle Plaine, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,2,2,1.4,0.0,,2026|08,2026|08,ZERO conversions,2,2,1.4,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
geographic_view_city,"Farmington, Minnesota",NOT a location target - spend arrived via the 22-mile radius,n/a - not a targetable entity in this campaign,42,2,0.71,0.0,,2026|07,2026|08,ZERO conversions,13,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
